Country,Year,Co2,KG_CAP_BEEF,KG_CAP_PIG,KG_CAP_POULTRY,KG_CAP_SHEEP,THND_TONNE_BEEF,THND_TONNE_PIG,THND_TONNE_POULTRY,THND_TONNE_SHEEP,KG_CAP_TOTAL,THND_TONNE_TOTAL,PopMale,PopFemale,PopTotal,PopDensity,Genero
CAN,1991,17626370897.0,24.32025859,20.25350394,24.25902484,0.763444065,974.3601,728.2071,773.10772,24.3301,69.596231435,2500.00502,13824.104,14064.708999999999,27888.813,3.0669999999999997,False
CHL,1991,1036613129.0,12.56815033,7.024399977000001,8.646828654,0.877113383,241.6180962,121.1911095,132.2300957,13.41310106,29.116492344,508.45240246,6629.576999999999,6865.678000000001,13495.255,18.15,False
CHN,1991,44341371836.0,0.7527117609999999,15.90070986,2.9071469210000003,0.8715406729999999,1278.7320339999999,24242.13096,3928.5581979999997,1177.752053,20.432109214999997,30627.173244999998,612077.869,580819.4079999999,1192897.277,127.06299999999999,True
COL,1991,1359873954.0,13.55894731,2.989028245,9.787129513,0.290691539,676.335122,133.8041009,388.335122,11.5341004,26.625796607,1210.0084453,16628.624,17129.703999999998,33758.328,30.427,False
EGY,1991,1484206913.0,5.562171384,0.032979048999999996,4.557871093,1.10457752,466.84409410000006,2.484099968,304.3020714,73.7461022,11.257599046,847.3763676680001,28864.813,28559.738999999998,57424.552,57.687,True
ETH,1991,51638476.0,,,,,231.5001,1.100100024,35.64009939,59.67509924,,327.915398654,24740.846,24869.13,49609.975999999995,49.61,False
IND,1991,12504907667.0,1.623202059,0.375044479,0.5176271720000001,0.6056345439999999,2059.275002,427.0001,522.3651513,611.1780785,3.121508254,3619.8183317999997,462697.149,428576.05299999996,891273.202,299.77,True
IDN,1991,3080314615.0,1.188433848,2.428598554,2.7826427860000003,0.451564415,313.434121,574.8180932,583.7731102999999,94.73410116,6.851239603000001,1566.7594256599998,92662.32199999999,91929.575,184591.897,101.896,True
ISR,1991,664738275.0,12.32012236,1.568517547,35.90980304,1.137166178,81.72110067,9.337099893,189.4731072,6.0001,50.935609125,286.53140776299995,2286.155,2303.15,4589.305,212.075,False
JPN,1991,29978828902.0,6.400344757,13.00217222,11.83952802,0.758946027,1142.370243,2082.681529,1680.9441,107.7531,32.000991024,5013.748971999999,61550.34099999999,63379.422999999995,124929.76400000001,342.691,False
KAZ,1991,7200314032.0,,,,,724.0001,274.0001,185.0001,270.0001,,1453.0004,7947.66,8425.648000000001,16373.308,6.065,False
MYS,1991,833257411.0,2.9116438710000003,9.992086616,22.38961185,0.368874792,77.07309805,237.36910330000003,471.44007189999996,7.767100198,35.662217129,793.649373448,9426.238000000001,9093.703000000001,18519.941000000003,56.369,True
MEX,1991,7706497689.0,8.814983841,7.75395491,9.469594694,0.597498204,1096.477102,865.5751,936.9681,59.1194,26.636031649,2958.139702,42274.502,43238.119000000006,85512.621,43.989,False
NZL,1991,904117819.0,24.02986718,10.55396686,14.88727718,29.77061997,118.30143909999998,46.62918457,58.3001,116.5847925,79.24173119,339.81551616999997,1695.963,1750.2079999999999,3446.171,13.088,False
NGA,1991,14657441.0,1.473479903,0.852493947,1.4857828219999998,1.535281956,205.71109850000002,106.80909809999999,165.0001,170.4971093,5.347038628,648.0174059000001,4056.913,4231.826,8288.739,6.544,False
NGA,1991,14657441.0,1.473479903,0.852493947,1.4857828219999998,1.535281956,205.71109850000002,106.80909809999999,165.0001,170.4971093,5.347038628,648.0174059000001,49139.905999999995,48527.725999999995,97667.632,107.236,True
NGA,1991,1339432665.0,1.473479903,0.852493947,1.4857828219999998,1.535281956,205.71109850000002,106.80909809999999,165.0001,170.4971093,5.347038628,648.0174059000001,4056.913,4231.826,8288.739,6.544,False
NGA,1991,1339432665.0,1.473479903,0.852493947,1.4857828219999998,1.535281956,205.71109850000002,106.80909809999999,165.0001,170.4971093,5.347038628,648.0174059000001,49139.905999999995,48527.725999999995,97667.632,107.236,True
NOR,1991,1473717784.0,12.97457474,15.75774428,4.233406874,5.0424066089999995,79.13510084,86.25286184,20.53909986,24.46410089,38.008132503,210.39116342999998,2110.922,2158.5429999999997,4269.465,11.689,False
PAK,1991,985342481.0,4.398313989,1.33839e-06,1.23102649,4.124565017,695.7530907,0.00018999999999999998,154.9000939,518.9941186000001,9.75390683439,1369.6474932,57403.279,53375.376,110778.655,143.704,True
PRY,1991,36813529.0,28.4340273,21.747920999999998,3.787549003,0.67842926,175.6170891,120.5451058,18.6080998,3.333099945,54.647926563000006,318.103394645,2195.8,2138.548,4334.348,10.91,True
